Name,Location,,Stellazzio,Reward
Aries,The Aries is found in the Dali windmill. It is behind the shaft of the windmill at the bottom floor.,,1st Stellazzio,"1,000 gil"
Taurus,The Taurus is found behind the item shop in the slums of Treno.,,2nd Stellazzio,Phoenix Pinion
Gemini,The Gemini is found by throwing ten gil into the fountain at the entrance of Treno thirteen consecutive times.,,3rd Stellazzio,"2,000 gil"
Cancer,The Cancer is found behind the overturned cart in the suburbs of Burmecia. The player must check the area around the cart on the left side for the coin.,,4th Stellazzio,Blood Sword
Leo,"The Leo is found in Alexandria Castle's Neptune statue room, in the corner of the right wall. The player must get there by going through the west tower's side door.",,5th Stellazzio,"5,000 gil"
Virgo,"The Virgo is found in the inn of the Black Mage Village, next to the chest.",,6th Stellazzio,Elixir
Libra,"The Libra is found next to the fountain in Madain Sari, toward the rear.",,7th Stellazzio,"10,000 gil"
Scorpio,"The Scorpio is found in the Cave area of Quan's Dwelling, at the bottom of the screen, near where the hot spring can be accessed to restore HP and MP.",,8th Stellazzio,Black Belt
Sagittarius,"The Sagittarius is found in Lindblum's Business District, during its reconstruction. The player must search the corner of the dirt path on the left side of the screen.",,9th Stellazzio,"20,000 gil"
Capricorn,The Capricorn is found submerged to the right of Daguerreo's entrance.,,10th Stellazzio,Rosetta Ring
Aquarius,The Aquarius is found behind the right pillar in a chest at Ipsen's Castle.,,11th Stellazzio,"30,000 gil"
Pisces,The Pisces is found in a chest at the Core area of the Invincible.,,12th Stellazzio,Robe of Lords
Ophiuchus,"After all the other twelve are discovered and given to Queen Stella in Treno, she suspects that there may be a thirteenth Stellazzio. She will then give the player back all twelve coins to figure out the location of the thirteenth coin.",,13th Stellazzio,Hammer
