Friendly Monsters,Location,Request
Mu,Located in the Gunitas Basin on the Mist Continent Near the village of Dali.,"Mu will ask for 1 Ore, and the reward is a Potion and 10 AP."
Ghost,"Ghost is located in the plains around the Village of Dali and near Bentini Heights, just outside Treno on the Mist Continent.","Ghost will ask for 1 Ore, and the reward is a Hi-Potion and 10 AP."
Lady Bug,Ladybug is located in the Magdeline Forests around the Black Mage Village.,"Ladybug will ask for 2 Ore, and the reward is an Ether and 20 AP."
Yeti,Yeti is located in the forests near Madain Sari or in the plains near Gizamaluke’s Grotto and Burmecia.,"Yeti will ask for 2 Ore, and the reward is an Elixir and 20 AP."
Nymph,Nymph is located in the Pualei Plains near the Iifa Tree.,"Nymph will ask for 3 Ore, and the reward is an Emerald and 30 AP."
Jabberwock,"Jabberwock is located in the Seaways Canyon, in the forests near Oeilvert on the Forgotten Continent.","Jabberwock will ask for an Emerald, and the reward is a Moonstone and 40 AP."
Feather Circle,The Feather Circle is Located in the Mitmakis Ice Field on the Lost Continent (near Esto Gaza).,"Feather Circle will ask for a Moonstone, and the reward is a Lapis Lazuli and 30 AP. Note that giving A Moonstone to the Feather Circle will not impact your ability to obtain the Over the Moon Achievement/Trophy."
Garuda,"Garuda is located in the Popos Heights forests, which you can access by climbing the ladder near Moguta in Gizamaluke’s Grotto, shown in the screenshot below. The forest is located just above.","Garuda will ask for a Lapis Lazuli, and the reward is a Diamond and 40 AP."
Yan,"You can find Yan on Vile Island (which is just southwest of the Iifa Tree). Yan will shout, “Have you met the others?” and run away if you have not found all the other friendly monsters involved in this side quest.","Yan will ask for a Diamond, and the reward is a Rosetta Ring and 50 AP."
Finding Yan completes this side quest and also affects the final battle against Ozma by making it vulnerable to Shadow-based damage.,,
