Question,Answer
The 15th Lindblum War started in 1600.,FALSE
“I Want to Be Your Canary” was written by Lord Afon.,FALSE
The theater ship Prima Vista was built in Artania Shipyards.,FALSE
Chocobo’s Forest is located between Lindblum and South Gate.,TRUE
Some Mus are friendly and won’t attack.,TRUE
Berkmea Cable Cars have been running for eight years.,TRUE
The theater ship Prima Vista uses Mist as its energy,TRUE
Lindblum Castle is larger than Alexandria Castle.,TRUE
Lindblum’s air cabs operate around the clock.,TRUE
Fossil Roo is an underground tunnel that connects Treno and Alexandria.,FALSE
Prima Vista means love at first sight.,FALSE
The Bobo bird is a bird that brings you fortune.,FALSE
Only one desert exists in the entire world.,FALSE
"Treno’s cafe, Card Carta, is members-only.",TRUE
Conde Petie is a village of Goblins.,FALSE
You can defeat Ragtimer.,TRUE
,
"Answer all the questions correctly, and then find the Ragtime Mouse one more time, and it will give you a Protect Ring. You will also receive 5,963 experience and 59,630 gil.",
